Business Name,Category,Lead Score,Rating,Phone,Website,Website Link,Email,LinkedIn,Facebook,Instagram,Twitter,Address,Maps
Tetrad Hotels,,50,4.2,,http://www.tetradhotels.in/,"=HYPERLINK(""http://www.tetradhotels.in/"", ""Visit Website"")","tetradhotelsandresorts@gmail.com, tetradhotelsandresorts@gmail.comphone",,,,,"International airport road, 48, 5th A Main Rd, near baptist hosptial, Vinayakanagar, Hebbal, Bengaluru, Karnataka 560032","=HYPERLINK(""https://www.google.com/maps/place/Tetrad+Hotels/data=!4m10!3m9!1s0x3bae1795e78c8287:0x44f96ccffbef95b9!5m2!4m1!1i2!8m2!3d13.0362355!4d77.590007!16s%2Fg%2F11rwxzl2t_!19sChIJh4KM55UXrjsRuZXv-89s-UQ?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
ibis Bengaluru City Centre,,70,4.4,080 4254 8000,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6454&merchantid=seo-maps-IN-6454&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,"=HYPERLINK(""https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6454&merchantid=seo-maps-IN-6454&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps"", ""Visit Website"")",,,,,,"Plot No - 30, Raja Ram Mohan Roy Rd, off Richmond Road, Sampangi Rama Nagara, Bengaluru, Karnataka 560027","=HYPERLINK(""https://www.google.com/maps/place/ibis+Bengaluru+City+Centre/data=!4m10!3m9!1s0x3bae1724731d003f:0xec5267fcb9422d30!5m2!4m1!1i2!8m2!3d12.967382!4d77.593907!16s%2Fg%2F11vdmwr2yb!19sChIJPwAdcyQXrjsRMC1CufxnUuw?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
The Ventura Grand Hotel,,50,4.7,063641 16669,http://theventuragrandhotel.com/,"=HYPERLINK(""http://theventuragrandhotel.com/"", ""Visit Website"")",theventuragrandhotel@gmail.com,,,,,"Panduranga Layout, 28, Hesarghatta Rd, next to Unilet Showroom, Bhuvaneshwari Nagar, T. Dasarahalli, Bengaluru, Karnataka 560057","=HYPERLINK(""https://www.google.com/maps/place/The+Ventura+Grand+Hotel/data=!4m10!3m9!1s0x3bae23d2f76331a7:0x19ff7afa11b773aa!5m2!4m1!1i2!8m2!3d13.0541944!4d77.5084515!16s%2Fg%2F11frj6v40s!19sChIJpzFj99IjrjsRqnO3Efp6_xk?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
The Leela Palace Bengaluru - Garden City's Only Modern Palace Hotel,,100,4.6,080 2521 1234,https://www.theleela.com/the-leela-palace-bengaluru?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-palace-bengaluru&utm_content=hotel-website-click,"=HYPERLINK(""https://www.theleela.com/the-leela-palace-bengaluru?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-palace-bengaluru&utm_content=hotel-website-click"", ""Visit Website"")","rso.gujarat@theleela.com, iso.france@theleela.com, rso.kochi@theleela.commumbai, ttc1@thetravelcollection.me, investorrelations@theleela.comtel, rso.hyderabad@theleela.com, rso.mumbai@theleela.comnew, kallie@van-isacker.com, rso.kolkata@theleela.comkochi, reservations@theleela.com., kallie@van-isacker.comgcc, reservations@theleela.com, investorrelations@theleela.com, cs@theleela.comsales, cs@theleela.comtel, rso.tlpc@theleela.comhyderabad, joann@hiddendoorwaystravel.com, rso.ahmedabad@theleela.combengaluru, gm.gandhinagar@theleela.commore, rso.pune@theleela.comusa, rso.delhi@theleela.compune, cs@theleela.com, rso.bangalore@theleela.com, rso.hyderabad@theleela.comkolkata, cs@theleela.comregistered, reservations@theleela.comdonepromo, joann@hiddendoorwaystravel.comuk, rso.tlpc@theleela.com, gm.gandhinagar@theleela.com, rso.tlpb@theleela.comchennai, reservations.mmcc@theleela.com",https://linkedin.com/company/theleela,https://facebook.com/theleela,https://instagram.com/theleela,https://x.com/theleelahotels,"23, HAL Old Airport Rd, HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008","=HYPERLINK(""https://www.google.com/maps/place/The+Leela+Palace+Bengaluru+-+Garden+City%27s+Only+Modern+Palace+Hotel/data=!4m10!3m9!1s0x3bae14067cca9bdd:0x111bbe37cc24e71a!5m2!4m1!1i2!8m2!3d12.9601655!4d77.6473827!16s%2Fg%2F1tf00xs5!19sChIJ3ZvKfAYUrjsRGuckzDe-GxE?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Octave Himalaya Monarch,,100,4.1,080 4736 3811,https://octavehotels.com/,"=HYPERLINK(""https://octavehotels.com/"", ""Visit Website"")","reservations@styloteljagadish.com, reservations_lsv@octavehotels.com, reservations_roc@octavehotels.com, reservations_dbl@octavehotels.com, reservations_pld@octavehotels.com, kanakakrinacomfortskkc@gmail.com, naufalbedrody@octavehotels.com, reservations_plz@octavehotels.com, reservations@octavehotels.com, reservations_him@octavehotels.com, jmhotelspvtltd@gmail.commailmejagdish41, reservations_glf@octavehotels.com, frontdesk.bgarh@bundelaresorts.com, reservations_cls@octavehotels.com, reservations_csl@octavehotels.com, reservations_kpk@octavehotels.com, hoteltajpalace7@gmail.com, velsgrand.bangalore@gmail.com, hotelverdisso2022@gmail.com, kul.octavehotels@gmail.com, reservations_cap@octavehotels.com, reservations_rdy@octavehotels.com, reservations_shp@octavehotels.com, reservations_jmy@octavehotels.com, reservations_stu@octavehotels.com, reservations_bun@octavehotels.com, hil.octavehotels@gmail.com, styloteljagadish@gmail.com, reservations_rop@octavehotels.com, reservations_nst@octavehotels.com, reservations_brk@octavehotels.com, reservations_nrv@octavehotels.com, reservations_kan@octavehotels.com, reservations_chh@octavehotels.com, reservations_crh@octavehotels.com, rnt.octavehotels@gmail.com, reservations_jpn@octavehotels.com, reservation@vishwaratnahotel.com, reservations_upt@octavehotels.com, saarangforever@gmail.com, reservations_adi@octavehotels.com, info@kingsuites.com, reservations_fmt@octavehotels.com, reservations_mth@octavehotels.com, reservations_rgp@octavehotels.com, reservations_orc@octavehotels.com, parisresidency1@gmail.com",https://linkedin.com/company/octave-hotels,https://facebook.com/octavehotels,,,"84, Subedar Chatram Rd, Gandhi Nagar, Bengaluru, Karnataka 560009","=HYPERLINK(""https://www.google.com/maps/place/Octave+Himalaya+Monarch/data=!4m10!3m9!1s0x3bae160fad11f655:0x2a59fe93eb2be399!5m2!4m1!1i2!8m2!3d12.9758721!4d77.5761088!16s%2Fg%2F11flvw0m0m!19sChIJVfYRrQ8WrjsRmeMr65P-WSo?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
"FabHotel Green Park Residency - Hotel Near Hal Old Airport Road, Bangalore",,100,4.7,070424 24242,https://www.fabhotels.com/hotels-in-bangalore/fabhotel-green-park-residency.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,"=HYPERLINK(""https://www.fabhotels.com/hotels-in-bangalore/fabhotel-green-park-residency.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic"", ""Visit Website"")","partners@fabhotels.com, jobs@fabhotels.com, bookings@fabhotels.com, feedback@fabhotels.com, travelagents@fabhotels.com, support@fabhotels.com",https://linkedin.com/company/fabhotels-com,https://facebook.com/dialog,https://instagram.com/fabhotels,https://twitter.com/intent,"1ST CROSS, RUSTUM BAGH MAIN ROAD, HAL Old Airport Rd, near MANIPAL HOSPITAL, Bengaluru, Karnataka 560017","=HYPERLINK(""https://www.google.com/maps/place/FabHotel+Green+Park+Residency+-+Hotel+Near+Hal+Old+Airport+Road,+Bangalore/data=!4m10!3m9!1s0x3bae15106e03a6d1:0x60fdb66e77a80cb1!5m2!4m1!1i2!8m2!3d12.9549028!4d77.6490296!16s%2Fg%2F11k4jf2pyy!19sChIJ0aYDbhAVrjsRsQyod262_WA?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
NP Royal INN,,120,4.9,099646 48377,,,,,,,,"Global Village Back Gate, No 452, 560059, BEML Layout 7th Stage, BEML Layout, Mylasandra, Bengaluru, Karnataka 560059","=HYPERLINK(""https://www.google.com/maps/place/NP+Royal+INN/data=!4m10!3m9!1s0x3bae3f930f2bec8d:0xe316fec78413411e!5m2!4m1!1i2!8m2!3d12.915181!4d77.5004877!16s%2Fg%2F11s99mdd__!19sChIJjewrD5M_rjsRHkEThMf-FuM?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Vovo premier Hotel,,70,4.6,073382 53454,https://vovohotels.in/vovo-Premier/reach_us.php,"=HYPERLINK(""https://vovohotels.in/vovo-Premier/reach_us.php"", ""Visit Website"")",,,,,,"12, 3rd Cross, WH Hanumanthappa Rd, Gandhi Nagar, Bengaluru, Karnataka 560009","=HYPERLINK(""https://www.google.com/maps/place/Vovo+premier+Hotel/data=!4m10!3m9!1s0x3bae17776cd23ec1:0xeb125af09a116d50!5m2!4m1!1i2!8m2!3d12.9775304!4d77.576998!16s%2Fg%2F11vjr034v7!19sChIJwT7SbHcXrjsRUG0RmvBaEus?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Bloom Hotel - Bengaluru Airport,,100,4.7,097311 73431,https://staybloom.com/hotels/bengaluru/bloom-hotel-bengaluru-airport,"=HYPERLINK(""https://staybloom.com/hotels/bengaluru/bloom-hotel-bengaluru-airport"", ""Visit Website"")","muskaan.gahlawat@staybloom.comcin, marketing@staybloom.com, salesb2b@staybloom.comcareerscareers, hotels@staybloom.com, mediapress@staybloom.comhotel, press@staybloom.com, sales@staybloom.com, careers@staybloom.com, reservationsbook@staybloom.comcorporate, developmenthotels@staybloom.com, book@staybloom.com, salessales@staybloom.comtravel, b2b@staybloom.com, staybloom.commarketingmarketing@staybloom.compress",,https://facebook.com/bloomhotels,https://instagram.com/bloomhotels,https://twitter.com/bloom_hotels,"No. 29, Down Town Park, Bellary Rd, Shettigere, Bengaluru, Shettigere, Karnataka 562157","=HYPERLINK(""https://www.google.com/maps/place/Bloom+Hotel+-+Bengaluru+Airport/data=!4m10!3m9!1s0x3bae1f0a288380cb:0x4fc258a632a58e09!5m2!4m1!1i2!8m2!3d13.1916976!4d77.6464522!16s%2Fg%2F11td23fzwy!19sChIJy4CDKAofrjsRCY6lMqZYwk8?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
"Clarks Inn, Near Bangalore Airport",,100,4.4,090358 92379,https://www.theclarkshotels.com/clarks-inn/clarks-inn-bangalore/hotel-overview?utm_source=google&utm_medium=organic,"=HYPERLINK(""https://www.theclarkshotels.com/clarks-inn/clarks-inn-bangalore/hotel-overview?utm_source=google&utm_medium=organic"", ""Visit Website"")","sales@theclarkscollection.com, association@theclarkshotels.comhotel, rso.punjab@theclarkshotels.com, rso.mumbai@theclarkshotels.comcontact, rso.mumbai@theclarkshotels.com, rm.east@theclarkshotels.comcontact, marcom@theclarkshotels.com, rso.lucknow@theclarkshotels.comcontact, rso.ahmedabad@theclarkshotels.comcontact, rso.bangalore@theclarkshotels.com, rso.punjab@theclarkshotels.comcontact, rsm.gurgaon@theclarkshotels.comcontact, rsm.gurgaon@theclarkshotels.com, 122002bookmystay@theclarkshotels.com1800, rm.east@theclarkshotels.com, rso.ahmedabad@theclarkshotels.com, marcom@theclarkshotels.comcontact, rso.bangalore@theclarkshotels.comcontact, bookmystay@theclarkshotels.com, centralreservations@theclarkshotels.comhotel, rso.lucknow@theclarkshotels.com, centralreservations@theclarkshotels.com, sales@theclarkscollection.comcontact, association@theclarkshotels.com",https://linkedin.com/company/theclarkshotelsresorts,https://facebook.com/theclarkshotelsandresorts,https://instagram.com/theclarkshotelsandresorts,,"Hotel Clarks Inn, Prestige Enclave, Cross, Central Telecom Society, Bengaluru, Bettahalsoor, Karnataka 562157","=HYPERLINK(""https://www.google.com/maps/place/Clarks+Inn,+Near+Bangalore+Airport/data=!4m10!3m9!1s0x3bae1f4a94086661:0x65ede1d29ed18da2!5m2!4m1!1i2!8m2!3d13.1562393!4d77.6267096!16s%2Fg%2F11smzjn6mj!19sChIJYWYIlEofrjsRoo3RntLh7WU?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
