Business Name,Category,Lead Score,Rating,Phone,Website,Website Link,Email,LinkedIn,Facebook,Instagram,Twitter,Address,Maps
Roof 360 Real Estate and Properties,Real estate agency,20,4.9,098450 22178,http://www.roof360.in/,"=HYPERLINK(""http://www.roof360.in/"", ""Visit Website"")",,https://linkedin.com/in/mohammed-munawar-b6879250,https://facebook.com/roofthreesixty,https://instagram.com/roof360realestate,https://twitter.com/roof360,"No. 68/1, 2nd Floor, Coles Rd, Cleveland Town, Fraser Town, Bengaluru, Karnataka 560005","=HYPERLINK(""https://www.google.com/maps/place/Roof+360+Real+Estate+and+Properties/data=!4m7!3m6!1s0x3bae16f708ce8817:0x1d778197ca9aa80!8m2!3d12.995832!4d77.613091!16s%2Fg%2F1q629qz9n!19sChIJF4jOCPcWrjsRgKqpfBl41wE?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Snehaloka Estates and Properties,Real estate agent,100,5.0,097388 92927,http://snehalokaproperties.com/,"=HYPERLINK(""http://snehalokaproperties.com/"", ""Visit Website"")","properties9738892927snehalokaproperties@gmail.comganesh, snehalokaproperties@gmail.com",,https://facebook.com/wix,,https://x.com/wix,"ganesha, Sawmill Rd, Kempegowdanagar, Maheswari Nagar, T. Dasarahalli, Bengaluru, Karnataka 560057","=HYPERLINK(""https://www.google.com/maps/place/Snehaloka+Estates+and+Properties/data=!4m7!3m6!1s0x3bae3dac2f1f29a5:0xde20b97eb5114805!8m2!3d13.0464103!4d77.5113303!16s%2Fg%2F11fclj37_9!19sChIJpSkfL6w9rjsRBUgRtX65IN4?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Feroze estate agency - Furnished office space for rent in bangalore,Office space rental agency,100,4.2,098450 18800,http://www.ferozes.com/,"=HYPERLINK(""http://www.ferozes.com/"", ""Visit Website"")","emailreachus@ferozes.com, reachus@ferozes.com",https://linkedin.com/company/feroze,https://facebook.com/ferozeestates,https://instagram.com/ferozes_realestate,,"Reliance Digital, 74, 1st floor unit 1 Prestige feroze, Landmark, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/Feroze+estate+agency+-+Furnished+office+space+for+rent+in+bangalore/data=!4m7!3m6!1s0x3bae1669d1badb63:0x9078551333420d01!8m2!3d12.9887938!4d77.592863!16s%2Fg%2F1tjdpsh0!19sChIJY9u60WkWrjsRAQ1CMxNVeJA?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
New Karnataka Real Estate Agency,Real estate agency,50,5.0,080888 98178,https://newkarnatakarealestatemna.com/,"=HYPERLINK(""https://newkarnatakarealestatemna.com/"", ""Visit Website"")","info@newkarnatakarealestatemna.com, info@newkarnatakarealestatemna.comphone",,,,,"Anjanadri layout, 187, 1st main cross road, Sinthan Nagar, Unity Nagar, Rachenahalli, Thanisandra, Bengaluru, Karnataka 560077","=HYPERLINK(""https://www.google.com/maps/place/New+Karnataka+Real+Estate+Agency/data=!4m7!3m6!1s0x3bae1761a8d8e543:0xe6e0d38ba648a68d!8m2!3d13.0569199!4d77.6274282!16s%2Fg%2F11b88h4l8d!19sChIJQ-XYqGEXrjsRjaZIpovT4OY?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
The Bangalore Real Estate Co.,Real estate consultant,100,4.8,080 4945 7777,http://www.blrrealestate.com/,"=HYPERLINK(""http://www.blrrealestate.com/"", ""Visit Website"")","frontoffice@blrrealestate.com, frontoffice@blrrealestate.comredifice",https://linkedin.com/company/the-bangalore-real-estate-co-,https://facebook.com/theblrrealestateco,https://instagram.com/theblrrealestateco,,"Suite 2B, Redifice Signature, 6, Bowring Hospital Rd, Tasker Town, Sampangi Rama Nagar, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/The+Bangalore+Real+Estate+Co./data=!4m7!3m6!1s0x3bae166290e6bbed:0xa2ed5d077741e7dc!8m2!3d12.9810359!4d77.6071754!16s%2Fg%2F11bycfsmv5!19sChIJ7bvmkGIWrjsR3OdBdwdd7aI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
BrokerInBlue - Professional Real Estate Brokers,Real estate agency,100,4.7,077609 47777,https://brokerinblue.com/,"=HYPERLINK(""https://brokerinblue.com/"", ""Visit Website"")",hello@brokerinblue.com,https://linkedin.com/company/broker-in-blue,,https://instagram.com/brokerinblue,,"#82, 80 Feet Rd, KGE Layout, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094","=HYPERLINK(""https://www.google.com/maps/place/BrokerInBlue+-+Professional+Real+Estate+Brokers/data=!4m7!3m6!1s0x3bae17db5466bbc1:0xd8434a437089ebac!8m2!3d13.0282384!4d77.5732415!16s%2Fg%2F11f01v8fqg!19sChIJwbtmVNsXrjsRrOuJcENKQ9g?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Coldwell Banker South India,Real estate agency,100,4.8,099020 66670,https://buywithcb.in/,"=HYPERLINK(""https://buywithcb.in/"", ""Visit Website"")",balaji.b@coldwellbanker.in,https://linkedin.com/company/cb-area-develper-south-zone,,https://instagram.com/cb.southindia,,"3rd Floor, Raghavendra Swamy Mutt, 38, 10th Main Rd, above Duroflex, near Sri, 5th Block, Jayanagar, Bengaluru, Karnataka 560041","=HYPERLINK(""https://www.google.com/maps/place/Coldwell+Banker+South+India/data=!4m7!3m6!1s0x3bae1508cebc778f:0xb288cba2ca881a52!8m2!3d12.9172269!4d77.5845556!16s%2Fg%2F11cly5hhww!19sChIJj3e8zggVrjsRUhqIyqLLiLI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
PLANETS PROPERTIES | Real Estate Property advisory company in Bangalore.,Real estate agency,120,4.6,080887 88077,,,,,,,,"2nd Floor, 357/4, Begur - Hulimavu Rd, opp. DLF Westend Heights Apartments, Classic Paradise Layout, Akshayanagar, Bengaluru, Karnataka 560114","=HYPERLINK(""https://www.google.com/maps/place/PLANETS+PROPERTIES+%7C+Real+Estate+Property+advisory+company+in+Bangalore./data=!4m7!3m6!1s0x3bae6b2d16b4b91b:0xadfe740ec3e1ca7a!8m2!3d12.876095!4d77.6175746!16s%2Fg%2F11c6zxqjqt!19sChIJG7m0Fi1rrjsResrhww50_q0?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Agarwal Estates,Real estate agency,100,4.6,070900 11220,https://agarwalestates.com/,"=HYPERLINK(""https://agarwalestates.com/"", ""Visit Website"")",sales@agarwalestates.com,https://linkedin.com/company/agarwal-estates,https://facebook.com/agarwalestates,https://instagram.com/agarwalestates,https://twitter.com/agarwalestates,"No.9, CRM Soubhagya Annexe, #35, 1B, Varthur Main Rd, near Spice Garden, Lakshminarayana Pura, Marathahalli, Bengaluru, Karnataka 560037","=HYPERLINK(""https://www.google.com/maps/place/Agarwal+Estates/data=!4m7!3m6!1s0x3bae1230a8daa329:0xc914b500b19a5a5!8m2!3d12.9565675!4d77.7099389!16s%2Fg%2F11b6d013y2!19sChIJKaPaqDASrjsRpaUZC1BLkQw?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Bhurani Real Estate,Real estate agency,100,4.5,098451 77451,http://www.bhurani.in/,"=HYPERLINK(""http://www.bhurani.in/"", ""Visit Website"")","emailinfo@bhurani.in, santhosh@bhurani.in, info@bhurani.in",https://linkedin.com/in/santosh-bhurani-06548922,https://facebook.com/santosh.bhurani,https://instagram.com/santosh.bhurani,https://x.com/santoshbhurani,"418, 18th Main Rd, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560041","=HYPERLINK(""https://www.google.com/maps/place/Bhurani+Real+Estate/data=!4m7!3m6!1s0x3bae157561d9bde5:0x20bb98c0009d9730!8m2!3d12.9251867!4d77.589502!16s%2Fg%2F1tg4v8kt!19sChIJ5b3ZYXUVrjsRMJedAMCYuyA?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Friendly Realtors and Property Management,Real estate consultant,70,4.8,099015 55100,https://www.friendlyrealtors.in/,"=HYPERLINK(""https://www.friendlyrealtors.in/"", ""Visit Website"")",,,,,,"19/8, Davis Rd, Balaji Layout, Cooke Town, Bengaluru, Karnataka 560084","=HYPERLINK(""https://www.google.com/maps/place/Friendly+Realtors+and+Property+Management/data=!4m7!3m6!1s0x3bae16e536f4a165:0x70083b3f3e25fa24!8m2!3d13.0035159!4d77.6200618!16s%2Fg%2F11b6bj0468!19sChIJZaH0NuUWrjsRJPolPj87CHA?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Shah Real Estate,Real estate rental agency,120,4.9,091485 95789,,,,,,,,"5/1 Ali Manzil 20th h cross Ejipura, Koramangala, Bengaluru, Karnataka 560047","=HYPERLINK(""https://www.google.com/maps/place/Shah+Real+Estate/data=!4m7!3m6!1s0x3bae15e4b3a4c40d:0xfe633631bdbe9b79!8m2!3d12.9421939!4d77.6274547!16s%2Fg%2F11vwjz1mks!19sChIJDcSks-QVrjsReZu-vTE2Y_4?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Ilias Estates & Properties,Real estate agency,120,4.9,098805 12703,,,,,,,,"No. 84, ""Barton Center"", Unit No. 606, 6th Floor,M.G. Road, Bengaluru 560 001. Telephone, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/Ilias+Estates+%26+Properties/data=!4m7!3m6!1s0x3bae16f115917677:0x40bd27b9d8b45228!8m2!3d12.9747066!4d77.6094093!16s%2Fg%2F1tfjp45h!19sChIJd3aRFfEWrjsRKFK02LknvUA?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
