Business Name,Category,Lead Score,Rating,Phone,Website,Website Link,Email,LinkedIn,Facebook,Instagram,Twitter,Address,Maps
The Mysore Grand,,120,4.6,,,,,,,,,"295, Lakshmi Vilas Road, Devaraja Mohalla, Chamrajpura, Mysuru, Karnataka 570004","=HYPERLINK(""https://www.google.com/maps/place/The+Mysore+Grand/data=!4m10!3m9!1s0x3baf700eeb640cad:0x5c17f4d6f4e8a4d1!5m2!4m1!1i2!8m2!3d12.3062894!4d76.6488278!16s%2Fg%2F11k4427f4k!19sChIJrQxk6w5wrzsR0aTo9Nb0F1w?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Hotel Garden City,,140,3.5,0821 249 7185,,,,,,,,"Bus Depot, No. 2 And 3, Nelson Mandela Rd, opposite K.S.R.T.C, Bannimantap, Mysuru, Karnataka 570015","=HYPERLINK(""https://www.google.com/maps/place/Hotel+Garden+City/data=!4m10!3m9!1s0x3baf707c5cfc3b4d:0x5dcba40b3844700c!5m2!4m1!1i2!8m2!3d12.3319158!4d76.6493274!16s%2Fg%2F1tdbcw6j!19sChIJTTv8XHxwrzsRDHBEOAuky10?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Hotel Mayura Hoysala Mysuru,,30,3.9,089706 50014,http://www.kstdc.co/,"=HYPERLINK(""http://www.kstdc.co/"", ""Visit Website"")","hoysala@karnatakaholidays.net, nandihills@karnatakaholidays.net, muthyalamaduvu@karnatakaholidays.net, pro@kstdc.co, sangama@karnatakaholidays.net, vijayanagar@karnatakaholidays.net, bharachukki@karnatakaholidays.net, gmhotels@kstdc.co, heritage@karnatakaholidays.net, pavithra@karnatakaholidays.net, info@kstdc.co, agmh@karnatakaholidays.net, belur@karnatakaholidays.net, bh@karnatakaholidays.net, hampi@karnatakaholidays.net, badami@karnatakaholidays.net, valleyview@karnatakaholidays.net, halebeedu@karnatakaholidays.net, gmf@kstdc.co, biligiri@karnatakaholidays.net, gmadmin@karnatakaholidays.net, jogfalls@karnatakaholidays.net, bijapur@karnatakaholidays.net, krs@karnatakaholidays.net, ooty@karnatakaholidays.net, gmt@karnatakaholidays.net, md@kstdc.co, bhagamandala@karnatakaholidays.net, yagachi@karnatakaholidays.net, riverview@karnatakaholidays.net, almatty@karnatakaholidays.net, marketing@kstdc.co, mtw@karnatakaholidays.net, chitradurga@karnatakaholidays.net",,https://facebook.com/kstdcltd1,https://instagram.com/kstdc,https://twitter.com/kstdc,"Jhansi Rani Lakshmi Bai Rd, Devaraja Mohalla, Shivarampet, Mysuru, Karnataka 570001","=HYPERLINK(""https://www.google.com/maps/place/Hotel+Mayura+Hoysala+Mysuru/data=!4m10!3m9!1s0x3baf700b3a413bdd:0x4a01a7fa8a82ac31!5m2!4m1!1i2!8m2!3d12.312436!4d76.645152!16s%2Fg%2F1tfjz9bj!19sChIJ3TtBOgtwrzsRMayCivqnAUo?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
New Mysore Residency,,120,4.7,095910 29149,,,,,,,,"CAG Complex, 1031/A, Panchamantra Rd, Kuvempu Nagara, Mysuru, Karnataka 570023","=HYPERLINK(""https://www.google.com/maps/place/New+Mysore+Residency/data=!4m10!3m9!1s0x3baf7b8eb59fbbf7:0x431ebfd6ffbf9636!5m2!4m1!1i2!8m2!3d12.2887132!4d76.6270449!16s%2Fg%2F11tx9hx0z7!19sChIJ97uftY57rzsRNpa__9a_HkM?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Hotel Mysore Royale,,70,4.0,099016 08109,http://www.mysoreroyale.com/,"=HYPERLINK(""http://www.mysoreroyale.com/"", ""Visit Website"")",,,,,,"1113, N-14, Tank Bund Rd, Indira Nagar, Nazarbad, Mysuru, Karnataka 570010","=HYPERLINK(""https://www.google.com/maps/place/Hotel+Mysore+Royale/data=!4m10!3m9!1s0x3baf719a8ee23109:0xf95027eb9ffd8c14!5m2!4m1!1i2!8m2!3d12.3037922!4d76.6620994!16s%2Fg%2F11sffpx7yf!19sChIJCTHijppxrzsRFIz9n-snUPk?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Grand Continent Mysore A Sarovar Portico Affiliate Hotel,,70,4.4,0821 314 1272,https://grand-continent-mysore-sarovar.goldentulip.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google,"=HYPERLINK(""https://grand-continent-mysore-sarovar.goldentulip.com/fr-fr/?utm_content=partoo&utm_medium=seo-bgp&utm_source=google"", ""Visit Website"")",,,,,,"Nazarbad, Mysuru, Karnataka 570010","=HYPERLINK(""https://www.google.com/maps/place/Grand+Continent+Mysore+A+Sarovar+Portico+Affiliate+Hotel/data=!4m10!3m9!1s0x3baf7189dd539b55:0xffc8a54a8abfcc01!5m2!4m1!1i2!8m2!3d12.3088125!4d76.6638125!16s%2Fg%2F11w4khtxwp!19sChIJVZtT3YlxrzsRAcy_ikqlyP8?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Roopa Elite,,35,4.0,079966 60009,http://www.roopaelite.com/,"=HYPERLINK(""http://www.roopaelite.com/"", ""Visit Website"")",enquiry@roopaelite.com,,https://facebook.com/yenyenessroop,,,"No. D-29, 6th Main Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002","=HYPERLINK(""https://www.google.com/maps/place/Roopa+Elite/data=!4m10!3m9!1s0x3baf7a93d3554609:0xa871e8bf05179b4!5m2!4m1!1i2!8m2!3d12.3239995!4d76.629873!16s%2Fg%2F11c5xcdzfn!19sChIJCUZV05N6rzsRtHlR8Isehwo?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
"Hotel Pearl Inn, Mysuru",,140,3.5,095915 65162,,,,,,,,"Govt. Ayurvedic Hospital Circle 1st cross, Sayyaji Rao Rd, behind Kannan Lab, Mysuru, Karnataka 570001","=HYPERLINK(""https://www.google.com/maps/place/Hotel+Pearl+Inn,+Mysuru/data=!4m10!3m9!1s0x3baf706d82f94d1d:0xba17713eb66d13e1!5m2!4m1!1i2!8m2!3d12.3162695!4d76.6512491!16s%2Fg%2F11b5pjhqfv!19sChIJHU35gm1wrzsR4RNttj5xF7o?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Southern Star Mysore,,100,4.2,0821 242 6426,https://www.hotelsouthernstar.com/,"=HYPERLINK(""https://www.hotelsouthernstar.com/"", ""Visit Website"")",rm@hotelsothernstar.com,,,https://instagram.com/southernstar.hotel,,"Southern Star, Metro Pole circle, 13-14, Vinoba Rd, near METRO POLE CIRCLE, Devaraja Mohalla, CFTRI Campus, Kajjihundi, Mysuru, Karnataka 570005","=HYPERLINK(""https://www.google.com/maps/place/Southern+Star+Mysore/data=!4m10!3m9!1s0x3baf7a98fac6a4a9:0xbf08f4f99d2672a0!5m2!4m1!1i2!8m2!3d12.3116421!4d76.6432697!16s%2Fg%2F11_k2bfjy!19sChIJqaTG-ph6rzsRoHImnfn0CL8?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
The Grand Inn,,70,4.0,0821 425 3300,https://grandinnmysore.com/,"=HYPERLINK(""https://grandinnmysore.com/"", ""Visit Website"")",,,,,,"2898/1, Keshava Iyengar Rd, behind Suburban Bus Stand, Halladakeri, Mandi Mohalla, Mysuru, Karnataka 570001","=HYPERLINK(""https://www.google.com/maps/place/The+Grand+Inn/data=!4m10!3m9!1s0x3baf701377a2ecab:0xee3f65f4f8a926cc!5m2!4m1!1i2!8m2!3d12.3112217!4d76.6576831!16s%2Fg%2F11f5dg9h1z!19sChIJq-yidxNwrzsRzCap-PRlP-4?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Grand Mercure Mysore,,70,4.5,0821 402 1212,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=9306&merchantid=seo-maps-IN-9306&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,"=HYPERLINK(""https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=9306&merchantid=seo-maps-IN-9306&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps"", ""Visit Website"")",,,,,,"Nelson Mandela Circle, 2203 60, Sayyaji Rao Rd, Bamboo Bazar, Mysuru, Karnataka 570021","=HYPERLINK(""https://www.google.com/maps/place/Grand+Mercure+Mysore/data=!4m10!3m9!1s0x3baf707ecd37258f:0x8512c6be740173cf!5m2!4m1!1i2!8m2!3d12.3302167!4d76.6450871!16s%2Fg%2F11clt9_gkz!19sChIJjyU3zX5wrzsRz3MBdL7GEoU?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Milano lodge,,70,4.7,0821 233 0478,https://mysorerooms.com/,"=HYPERLINK(""https://mysorerooms.com/"", ""Visit Website"")",,,,,,"first floor, GTR complex Devegowda circle Bannur, Ring Rd, Mysuru, Karnataka 570029","=HYPERLINK(""https://www.google.com/maps/place/Milano+lodge/data=!4m10!3m9!1s0x3baf7121f6bbdc4b:0x5622e020a583e18d!5m2!4m1!1i2!8m2!3d12.3055328!4d76.703243!16s%2Fg%2F11mv1rmnwf!19sChIJS9y79iFxrzsRjeGDpSDgIlY?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Lalitha Mahal Palace Hotel,,100,4.2,0821 247 0444,http://www.lalithamahalpalace.co.in/,"=HYPERLINK(""http://www.lalithamahalpalace.co.in/"", ""Visit Website"")",info@junglelodges.com,,https://facebook.com/lalitha-mahal-palace-mysore-585693598225096,https://instagram.com/jlrlmph,https://twitter.com/palacemahal,"Lalitha Mahal Palace Road, Lalithmahal Nagar, Siddhartha Layout, Mysuru, Karnataka 570028","=HYPERLINK(""https://www.google.com/maps/place/Lalitha+Mahal+Palace+Hotel/data=!4m10!3m9!1s0x3baf7005079c2ff5:0xc796fc64f4676317!5m2!4m1!1i2!8m2!3d12.2982956!4d76.6926105!16zL20vMDgyeWZt!19sChIJ9S-cBwVwrzsRF2Nn9GT8lsc?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Hotel Pai Vista,,100,4.4,099456 15420,https://www.paihotels.com/vista-mysore/,"=HYPERLINK(""https://www.paihotels.com/vista-mysore/"", ""Visit Website"")","vista@paihotels.comknow, sales1@paihotels.com, bookings@presidenthotel.in, reservations@presidenthotel.inknow, fomh@presidenthotel.inknow, reservations@paihotels.comknow, paivista@paihotels.comknow, gm.comforts@paihotels.comknow, enquiry@presidenthotel.inknow, reservations@paihotels.com, reservations.tirupati@paihotels.comknow",,https://facebook.com/pai-group-of-hotels-1846456315580626,,,"Doora, 35/A, Bangalore Nilgiri Rd, behind Bhima Jewellery, Nazarbad, Mysuru, Karnataka 570010","=HYPERLINK(""https://www.google.com/maps/place/Hotel+Pai+Vista/data=!4m10!3m9!1s0x3bae3e0f09ee1a07:0x84e24b744362300b!5m2!4m1!1i2!8m2!3d12.310976!4d76.65936!16s%2Fg%2F1hdz4cy9q!19sChIJBxruCQ8-rjsRCzBiQ3RL4oQ?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Hotel Shine International,,50,4.7,098453 44888,https://www.hotelshineinternational.com/,"=HYPERLINK(""https://www.hotelshineinternational.com/"", ""Visit Website"")",info@hotelshineinternational.com,,,,,"NO 58, MIG, Main Road, opp. to pushpashram infant jesus shrine, 2nd Stage, R.S.Naidu Nagar, Mysuru, Karnataka 570007","=HYPERLINK(""https://www.google.com/maps/place/Hotel+Shine+International/data=!4m10!3m9!1s0x3baf71888637e359:0x29b869452e3adcd3!5m2!4m1!1i2!8m2!3d12.346662!4d76.6671404!16s%2Fg%2F11wp_z57pl!19sChIJWeM3hohxrzsR09w6LkVpuCk?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Aishwarya Residency (Best Budget Hotel In Mysore),,35,3.8,097410 22294,http://www.aishwaryagroupofhotels.com/,"=HYPERLINK(""http://www.aishwaryagroupofhotels.com/"", ""Visit Website"")",info@aishwaryagroupofhotels.com,https://linkedin.com/in/hotelaishwaryaresidencymysore,https://facebook.com/aishwaryagroupofhotels,,https://twitter.com/aishwaryamysore,"2932/A, suburban BUSSTAND, Off, Bangalore Nilgiri Rd, near K.S.R.T.C. Building,, behind Kalyan jewels, Lashkar Mohalla, Doora, Mysuru, Karnataka 570001","=HYPERLINK(""https://www.google.com/maps/place/Aishwarya+Residency+%28Best+Budget+Hotel+In+Mysore%29/data=!4m10!3m9!1s0x3baf706c9c987989:0x968f8d5aa8f27ee4!5m2!4m1!1i2!8m2!3d12.3158012!4d76.6581643!16s%2Fg%2F1v7tjtgm!19sChIJiXmYnGxwrzsR5H7yqFqNj5Y?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Hotel Royale Heritage,,140,3.7,,,,,,,,,"Bangalore Nilgiri Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001","=HYPERLINK(""https://www.google.com/maps/place/Hotel+Royale+Heritage/data=!4m10!3m9!1s0x3baf7008c77186bf:0xec92543813f7717c!5m2!4m1!1i2!8m2!3d12.3158378!4d76.6590936!16s%2Fg%2F1vd3t72s!19sChIJv4ZxxwhwrzsRfHH3EzhUkuw?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Townhouse by OYO Mysore Central Formerly Olive Star,,40,3.1,0124 433 0599,https://www.oyorooms.com/15109/,"=HYPERLINK(""https://www.oyorooms.com/15109/"", ""Visit Website"")",,https://linkedin.com/company/oyo-rooms,https://facebook.com/oyorooms,https://instagram.com/oyorooms,https://twitter.com/oyorooms,"Landmark, 152,Dr Nelson Mandela Road, Abdul Kalam Azad Cir, New Bannimantap Extension, Mysuru, Karnataka 570015","=HYPERLINK(""https://www.google.com/maps/place/Townhouse+by+OYO+Mysore+Central+Formerly+Olive+Star/data=!4m10!3m9!1s0x3baf707ea7bab869:0x4771b183d44d7cc8!5m2!4m1!1i2!8m2!3d12.3309388!4d76.6469184!16s%2Fg%2F11f11p1db_!19sChIJabi6p35wrzsRyHxN1IOxcUc?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Townhouse by OYO Mysore Central Formerly Hotel Pride,,40,3.3,0124 620 1784,https://www.oyorooms.com/10411/,"=HYPERLINK(""https://www.oyorooms.com/10411/"", ""Visit Website"")",,https://linkedin.com/company/oyo-rooms,https://facebook.com/oyorooms,https://instagram.com/oyorooms,https://twitter.com/oyorooms,"Plot Number 73, Nazarbad Main Rd, Mandi Mohalla, Mysuru, Karnataka 570010","=HYPERLINK(""https://www.google.com/maps/place/Townhouse+by+OYO+Mysore+Central+Formerly+Hotel+Pride/data=!4m10!3m9!1s0x3baf701432051cf9:0x5917e304b02e33ed!5m2!4m1!1i2!8m2!3d12.3093446!4d76.6607913!16s%2Fg%2F1tcvs90c!19sChIJ-RwFMhRwrzsR7TMusATjF1k?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Townhouse by OYO City Center Near Mysore Palace Formerly Aavass Inn,,40,3.6,0124 620 1784,https://www.oyorooms.com/2236/,"=HYPERLINK(""https://www.oyorooms.com/2236/"", ""Visit Website"")",,https://linkedin.com/company/oyo-rooms,https://facebook.com/oyorooms,https://instagram.com/oyorooms,https://twitter.com/oyorooms,"Plot No. 70, Ashoka Rd, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001","=HYPERLINK(""https://www.google.com/maps/place/Townhouse+by+OYO+City+Center+Near+Mysore+Palace+Formerly+Aavass+Inn/data=!4m10!3m9!1s0x3baf706ce86f4319:0x9366b0eea549eb42!5m2!4m1!1i2!8m2!3d12.3152367!4d76.6565788!16s%2Fg%2F11b66c1d52!19sChIJGUNv6GxwrzsRQutJpe6wZpM?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Hotel Golden Castle,,90,3.9,091080 11855,https://hotelgoldencastle.com/,"=HYPERLINK(""https://hotelgoldencastle.com/"", ""Visit Website"")",,,,,,"Opp: Old RMC, 3615/1 M28/1, Sayyaji Rao Rd, Tilak Nagar, Mysuru, Karnataka 570001","=HYPERLINK(""https://www.google.com/maps/place/Hotel+Golden+Castle/data=!4m10!3m9!1s0x3baf7073e193ee87:0x86409a1468234402!5m2!4m1!1i2!8m2!3d12.3218695!4d76.646717!16s%2Fg%2F11bwc0tc_h!19sChIJh-6T4XNwrzsRAkQjaBSaQIY?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
AYANI INN,,120,4.5,,,,,,,,,"A Avenue Complex, 8, next to Mesco College, Subhash Nagar, Mysuru, Karnataka 570007","=HYPERLINK(""https://www.google.com/maps/place/AYANI+INN/data=!4m10!3m9!1s0x3baf71f76f58925b:0x3df0d19186b0b39e!5m2!4m1!1i2!8m2!3d12.3304427!4d76.660877!16s%2Fg%2F11tgf6rm34!19sChIJW5JYb_dxrzsRnrOwhpHR8D0?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Hotel Darshan Palace,,90,3.0,098454 42277,http://hoteldarshanpalace.com/,"=HYPERLINK(""http://hoteldarshanpalace.com/"", ""Visit Website"")",,,,,,"Hotel Darshan Palace, 853/B, Lokaranjan Mahal Rd, Nazarbad, Mysuru, Karnataka 570010","=HYPERLINK(""https://www.google.com/maps/place/Hotel+Darshan+Palace/data=!4m10!3m9!1s0x3baf703d6435c92b:0x1b44be63d5628e8f!5m2!4m1!1i2!8m2!3d12.3047631!4d76.6649211!16s%2Fg%2F1td_x0w3!19sChIJK8k1ZD1wrzsRj45i1WO-RBs?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
