Business Name,Category,Lead Score,Rating,Phone,Website,Website Link,Email,LinkedIn,Facebook,Instagram,Twitter,Address,Maps
Tetrad Hotels,,50,4.2,,http://www.tetradhotels.in/,"=HYPERLINK(""http://www.tetradhotels.in/"", ""Visit Website"")","tetradhotelsandresorts@gmail.comphone, tetradhotelsandresorts@gmail.com",,,,,"International airport road, 48, 5th A Main Rd, near baptist hosptial, Vinayakanagar, Hebbal, Bengaluru, Karnataka 560032","=HYPERLINK(""https://www.google.com/maps/place/Tetrad+Hotels/data=!4m10!3m9!1s0x3bae1795e78c8287:0x44f96ccffbef95b9!5m2!4m1!1i2!8m2!3d13.0362355!4d77.590007!16s%2Fg%2F11rwxzl2t_!19sChIJh4KM55UXrjsRuZXv-89s-UQ?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Novotel Bengaluru Outer Ring Road,,70,4.6,080667 05000,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6453&merchantid=seo-maps-IN-6453&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,"=HYPERLINK(""https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6453&merchantid=seo-maps-IN-6453&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps"", ""Visit Website"")",,,,,,"ECOSPACE BUSINESS PARK, Marathahalli - Sarjapur Outer Ring Rd, opp. RMZ, Kariyammana Agrahara, Bellandur, Bengaluru, Karnataka 560103","=HYPERLINK(""https://www.google.com/maps/place/Novotel+Bengaluru+Outer+Ring+Road/data=!4m10!3m9!1s0x3bae13a6c35ad863:0xc9976c935f42f551!5m2!4m1!1i2!8m2!3d12.9300526!4d77.6831049!16s%2Fg%2F1wf208l4!19sChIJY9haw6YTrjsRUfVCX5Nsl8k?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
ibis Bengaluru City Centre,,70,4.4,080 4254 8000,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6454&merchantid=seo-maps-IN-6454&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,"=HYPERLINK(""https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6454&merchantid=seo-maps-IN-6454&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps"", ""Visit Website"")",,,,,,"Plot No - 30, Raja Ram Mohan Roy Rd, off Richmond Road, Sampangi Rama Nagara, Bengaluru, Karnataka 560027","=HYPERLINK(""https://www.google.com/maps/place/ibis+Bengaluru+City+Centre/data=!4m10!3m9!1s0x3bae1724731d003f:0xec5267fcb9422d30!5m2!4m1!1i2!8m2!3d12.967382!4d77.593907!16s%2Fg%2F11vdmwr2yb!19sChIJPwAdcyQXrjsRMC1CufxnUuw?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
B R Inn - Bharathi Residency and Inn,,100,4.1,080505 47070,https://brinn.in/,"=HYPERLINK(""https://brinn.in/"", ""Visit Website"")",support@brinn.in,,https://facebook.com/share,https://instagram.com/arphalazzo,,"12 & 17, NGR Layout, Roopena Agrahara, Bommanahalli, Bengaluru, Karnataka 560068","=HYPERLINK(""https://www.google.com/maps/place/B+R+Inn+-+Bharathi+Residency+and+Inn/data=!4m10!3m9!1s0x3bae15f1d7d69edf:0x82c235ffd6f0ec9e!5m2!4m1!1i2!8m2!3d12.9126878!4d77.6240727!16s%2Fg%2F11p6681z91!19sChIJ357W1_EVrjsRnuzw1v81woI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
The Leela Palace Bengaluru - Garden City's Only Modern Palace Hotel,,100,4.6,080 2521 1234,https://www.theleela.com/the-leela-palace-bengaluru?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-palace-bengaluru&utm_content=hotel-website-click,"=HYPERLINK(""https://www.theleela.com/the-leela-palace-bengaluru?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-palace-bengaluru&utm_content=hotel-website-click"", ""Visit Website"")","gm.gandhinagar@theleela.commore, reservations.mmcc@theleela.com, cs@theleela.com, rso.hyderabad@theleela.com, rso.tlpc@theleela.com, joann@hiddendoorwaystravel.comuk, reservations@theleela.com., cs@theleela.comregistered, rso.ahmedabad@theleela.combengaluru, ttc1@thetravelcollection.me, rso.delhi@theleela.compune, investorrelations@theleela.com, rso.mumbai@theleela.comnew, gm.gandhinagar@theleela.com, rso.tlpc@theleela.comhyderabad, iso.france@theleela.com, cs@theleela.comsales, rso.gujarat@theleela.com, reservations@theleela.com, rso.hyderabad@theleela.comkolkata, rso.pune@theleela.comusa, kallie@van-isacker.comgcc, reservations@theleela.comdonepromo, kallie@van-isacker.com, rso.bangalore@theleela.com, joann@hiddendoorwaystravel.com, cs@theleela.comtel, rso.tlpb@theleela.comchennai, rso.kolkata@theleela.comkochi, rso.kochi@theleela.commumbai, investorrelations@theleela.comtel",https://linkedin.com/company/theleela,https://facebook.com/theleela,https://instagram.com/theleela,https://x.com/theleelahotels,"23, HAL Old Airport Rd, HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008","=HYPERLINK(""https://www.google.com/maps/place/The+Leela+Palace+Bengaluru+-+Garden+City%27s+Only+Modern+Palace+Hotel/data=!4m10!3m9!1s0x3bae14067cca9bdd:0x111bbe37cc24e71a!5m2!4m1!1i2!8m2!3d12.9601655!4d77.6473827!16s%2Fg%2F1tf00xs5!19sChIJ3ZvKfAYUrjsRGuckzDe-GxE?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Octave Himalaya Monarch,,100,4.1,080 4736 3811,https://octavehotels.com/,"=HYPERLINK(""https://octavehotels.com/"", ""Visit Website"")","info@kingsuites.com, reservations_adi@octavehotels.com, reservations@styloteljagadish.com, reservations_him@octavehotels.com, reservations@octavehotels.com, reservations_brk@octavehotels.com, frontdesk.bgarh@bundelaresorts.com, reservations_jmy@octavehotels.com, reservations_roc@octavehotels.com, reservations_mth@octavehotels.com, hotelverdisso2022@gmail.com, reservations_csl@octavehotels.com, kanakakrinacomfortskkc@gmail.com, reservations_rop@octavehotels.com, reservations_kan@octavehotels.com, reservations_dbl@octavehotels.com, reservations_bun@octavehotels.com, reservations_pld@octavehotels.com, reservations_jpn@octavehotels.com, reservations_glf@octavehotels.com, reservations_plz@octavehotels.com, velsgrand.bangalore@gmail.com, reservations_shp@octavehotels.com, reservations_orc@octavehotels.com, saarangforever@gmail.com, reservations_lsv@octavehotels.com, reservations_nst@octavehotels.com, hoteltajpalace7@gmail.com, parisresidency1@gmail.com, reservations_rdy@octavehotels.com, styloteljagadish@gmail.com, hil.octavehotels@gmail.com, reservations_cls@octavehotels.com, reservations_chh@octavehotels.com, reservation@vishwaratnahotel.com, rnt.octavehotels@gmail.com, reservations_crh@octavehotels.com, naufalbedrody@octavehotels.com, kul.octavehotels@gmail.com, reservations_kpk@octavehotels.com, reservations_upt@octavehotels.com, jmhotelspvtltd@gmail.commailmejagdish41, reservations_nrv@octavehotels.com, reservations_cap@octavehotels.com, reservations_rgp@octavehotels.com, reservations_stu@octavehotels.com, reservations_fmt@octavehotels.com",https://linkedin.com/company/octave-hotels,https://facebook.com/octavehotels,,,"84, Subedar Chatram Rd, Gandhi Nagar, Bengaluru, Karnataka 560009","=HYPERLINK(""https://www.google.com/maps/place/Octave+Himalaya+Monarch/data=!4m10!3m9!1s0x3bae160fad11f655:0x2a59fe93eb2be399!5m2!4m1!1i2!8m2!3d12.9758721!4d77.5761088!16s%2Fg%2F11flvw0m0m!19sChIJVfYRrQ8WrjsRmeMr65P-WSo?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
"FabHotel Green Park Residency - Hotel Near Hal Old Airport Road, Bangalore",,100,4.7,070424 24242,https://www.fabhotels.com/hotels-in-bangalore/fabhotel-green-park-residency.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,"=HYPERLINK(""https://www.fabhotels.com/hotels-in-bangalore/fabhotel-green-park-residency.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic"", ""Visit Website"")","jobs@fabhotels.com, partners@fabhotels.com, bookings@fabhotels.com, feedback@fabhotels.com, travelagents@fabhotels.com, support@fabhotels.com",https://linkedin.com/company/fabhotels-com,https://facebook.com/dialog,https://instagram.com/fabhotels,https://twitter.com/intent,"1ST CROSS, RUSTUM BAGH MAIN ROAD, HAL Old Airport Rd, near MANIPAL HOSPITAL, Bengaluru, Karnataka 560017","=HYPERLINK(""https://www.google.com/maps/place/FabHotel+Green+Park+Residency+-+Hotel+Near+Hal+Old+Airport+Road,+Bangalore/data=!4m10!3m9!1s0x3bae15106e03a6d1:0x60fdb66e77a80cb1!5m2!4m1!1i2!8m2!3d12.9549028!4d77.6490296!16s%2Fg%2F11k4jf2pyy!19sChIJ0aYDbhAVrjsRsQyod262_WA?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
The Ventura Grand Hotel,,50,4.7,063641 16669,http://theventuragrandhotel.com/,"=HYPERLINK(""http://theventuragrandhotel.com/"", ""Visit Website"")",theventuragrandhotel@gmail.com,,,,,"Panduranga Layout, 28, Hesarghatta Rd, next to Unilet Showroom, Bhuvaneshwari Nagar, T. Dasarahalli, Bengaluru, Karnataka 560057","=HYPERLINK(""https://www.google.com/maps/place/The+Ventura+Grand+Hotel/data=!4m10!3m9!1s0x3bae23d2f76331a7:0x19ff7afa11b773aa!5m2!4m1!1i2!8m2!3d13.0541944!4d77.5084515!16s%2Fg%2F11frj6v40s!19sChIJpzFj99IjrjsRqnO3Efp6_xk?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Vovo premier Hotel,,70,4.6,073382 53454,https://vovohotels.in/vovo-Premier/reach_us.php,"=HYPERLINK(""https://vovohotels.in/vovo-Premier/reach_us.php"", ""Visit Website"")",,,,,,"12, 3rd Cross, WH Hanumanthappa Rd, Gandhi Nagar, Bengaluru, Karnataka 560009","=HYPERLINK(""https://www.google.com/maps/place/Vovo+premier+Hotel/data=!4m10!3m9!1s0x3bae17776cd23ec1:0xeb125af09a116d50!5m2!4m1!1i2!8m2!3d12.9775304!4d77.576998!16s%2Fg%2F11vjr034v7!19sChIJwT7SbHcXrjsRUG0RmvBaEus?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Zion - A Luxurious Hotel,,120,4.6,080 4698 8888,,,,,,,,"31, WH Hanumanthappa Rd, Gandhi Nagar, Bengaluru, Karnataka 560009","=HYPERLINK(""https://www.google.com/maps/place/Zion+-+A+Luxurious+Hotel/data=!4m10!3m9!1s0x3bae17b5462b3335:0x8270466a56261062!5m2!4m1!1i2!8m2!3d12.9796719!4d77.5768697!16s%2Fg%2F11s2jcfxtg!19sChIJNTMrRrUXrjsRYhAmVmpGcII?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
