Business Name,Category,Lead Score,Rating,Phone,Website,Website Link,Email,LinkedIn,Facebook,Instagram,Twitter,Address,Maps
Roof 360 Real Estate and Properties,Real estate agency,20,4.9,098450 22178,http://www.roof360.in/,"=HYPERLINK(""http://www.roof360.in/"", ""Visit Website"")",,https://linkedin.com/in/mohammed-munawar-b6879250,https://facebook.com/roofthreesixty,https://instagram.com/roof360realestate,https://twitter.com/roof360,"No. 68/1, 2nd Floor, Coles Rd, Cleveland Town, Fraser Town, Bengaluru, Karnataka 560005","=HYPERLINK(""https://www.google.com/maps/place/Roof+360+Real+Estate+and+Properties/data=!4m7!3m6!1s0x3bae16f708ce8817:0x1d778197ca9aa80!8m2!3d12.995832!4d77.613091!16s%2Fg%2F1q629qz9n!19sChIJF4jOCPcWrjsRgKqpfBl41wE?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Shah Real Estate,Real estate rental agency,120,4.9,091485 95789,,,,,,,,"5/1 Ali Manzil 20th h cross Ejipura, Koramangala, Bengaluru, Karnataka 560047","=HYPERLINK(""https://www.google.com/maps/place/Shah+Real+Estate/data=!4m7!3m6!1s0x3bae15e4b3a4c40d:0xfe633631bdbe9b79!8m2!3d12.9421939!4d77.6274547!16s%2Fg%2F11vwjz1mks!19sChIJDcSks-QVrjsReZu-vTE2Y_4?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
The Bangalore Real Estate Co.,Real estate consultant,100,4.8,080 4945 7777,http://www.blrrealestate.com/,"=HYPERLINK(""http://www.blrrealestate.com/"", ""Visit Website"")","frontoffice@blrrealestate.com, frontoffice@blrrealestate.comredifice",https://linkedin.com/company/the-bangalore-real-estate-co-,https://facebook.com/theblrrealestateco,https://instagram.com/theblrrealestateco,,"Suite 2B, Redifice Signature, 6, Bowring Hospital Rd, Tasker Town, Sampangi Rama Nagar, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/The+Bangalore+Real+Estate+Co./data=!4m7!3m6!1s0x3bae166290e6bbed:0xa2ed5d077741e7dc!8m2!3d12.9810359!4d77.6071754!16s%2Fg%2F11bycfsmv5!19sChIJ7bvmkGIWrjsR3OdBdwdd7aI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Feroze estate agency - Furnished office space for rent in bangalore,Office space rental agency,100,4.2,098450 18800,http://www.ferozes.com/,"=HYPERLINK(""http://www.ferozes.com/"", ""Visit Website"")","reachus@ferozes.com, emailreachus@ferozes.com",https://linkedin.com/company/feroze,https://facebook.com/ferozeestates,https://instagram.com/ferozes_realestate,,"Reliance Digital, 74, 1st floor unit 1 Prestige feroze, Landmark, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/Feroze+estate+agency+-+Furnished+office+space+for+rent+in+bangalore/data=!4m7!3m6!1s0x3bae1669d1badb63:0x9078551333420d01!8m2!3d12.9887938!4d77.592863!16s%2Fg%2F1tjdpsh0!19sChIJY9u60WkWrjsRAQ1CMxNVeJA?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Temptation Realty inc,Real estate agency,100,5.0,097415 55559,http://temptationrealtyinc.com/,"=HYPERLINK(""http://temptationrealtyinc.com/"", ""Visit Website"")",info@temptationrealtyinc.com,https://linkedin.com/in/dileep-shetty-temptation-realty-inc-146a6752,https://facebook.com/temptationrealty,https://instagram.com/temptationrealty_,https://twitter.com/dileepshet,"122/2, 1st Floor, Brigade Ternia, Landmark-next to Ibaco Icecream shop, Brigade Rd, opposite of Brigade Tower, Bengaluru, Karnataka 560025","=HYPERLINK(""https://www.google.com/maps/place/Temptation+Realty+inc/data=!4m7!3m6!1s0x3bae15de11a3bb17:0xd8e89ffebdc401f2!8m2!3d12.9671979!4d77.6061979!16s%2Fg%2F11p5zkg_gb!19sChIJF7ujEd4VrjsR8gHEvf6f6Ng?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Ilias Estates & Properties,Real estate agency,120,4.9,098805 12703,,,,,,,,"No. 84, ""Barton Center"", Unit No. 606, 6th Floor,M.G. Road, Bengaluru 560 001. Telephone, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/Ilias+Estates+%26+Properties/data=!4m7!3m6!1s0x3bae16f115917677:0x40bd27b9d8b45228!8m2!3d12.9747066!4d77.6094093!16s%2Fg%2F1tfjp45h!19sChIJd3aRFfEWrjsRKFK02LknvUA?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Sri Balaji Real Estate,Real estate agency,120,4.8,099022 09306,,,,,,,,"No. 1, 1st cross, 1st main Ashwini Layout, Ejipura, Koramangala, Bengaluru, Karnataka 560047","=HYPERLINK(""https://www.google.com/maps/place/Sri+Balaji+Real+Estate/data=!4m7!3m6!1s0x3bae15d2bc788329:0x94726f253ced4e12!8m2!3d12.9392277!4d77.6283111!16s%2Fg%2F11fq4crmcl!19sChIJKYN4vNIVrjsREk7tPCVvcpQ?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
BricksandRoof Real estate Consultant,Real estate consultant,100,4.7,099010 55002,https://bricksandroof.com/,"=HYPERLINK(""https://bricksandroof.com/"", ""Visit Website"")",sachin@bricksandroof.com,https://linkedin.com/company/bricksandroof,https://facebook.com/bricksandroof2,https://instagram.com/bricksandroof,https://x.com/bricksandroof1,"Somerset, C401, Mahatma Gandhi Rd, near Metro Station Trinity, Craig Park Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/BricksandRoof+Real+estate+Consultant/data=!4m7!3m6!1s0x3bae15a1e92abb43:0xff7d0d80c68d5377!8m2!3d12.9729818!4d77.6168945!16s%2Fg%2F1pty3l_sg!19sChIJQ7sq6aEVrjsRd1ONxoANff8?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
GoldFinch Realty,Real estate consultant,120,5.0,098861 61049,,,,,,,,"1 4th cross, 3rd Main Rd, Ayyappa Temple Block, Vannarpet, Yerappa Garden, Neelasandra, Bengaluru, Karnataka 560047","=HYPERLINK(""https://www.google.com/maps/place/GoldFinch+Realty/data=!4m7!3m6!1s0x3bae15cf31120a73:0xfa40eb2f0971f3b6!8m2!3d12.9568949!4d77.6174714!16s%2Fg%2F11kq3dgg6s!19sChIJcwoSMc8VrjsRtvNxCS_rQPo?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
MN Realtors since 1998 - Real Estate Consultants Bangalore,Real estate consultant,120,4.7,098440 11876,,,,,,,,"2nd floor, Malika Mansion, 94-1/2, Infantry Rd, behind Karnataka Bank, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/MN+Realtors+since+1998+-+Real+Estate+Consultants+Bangalore/data=!4m7!3m6!1s0x3bae1662d12126c5:0x6ea30881a7fccc6a!8m2!3d12.9796371!4d77.6054877!16s%2Fg%2F1tf7w4ln!19sChIJxSYh0WIWrjsRasz8p4EIo24?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Kimia Realty Office Space In Bangalore - Warehouse Space In Bangalore,Commercial real estate agency,70,5.0,098453 08005,http://kimiarealty.com/,"=HYPERLINK(""http://kimiarealty.com/"", ""Visit Website"")",,,,,,"51, Infantry Rd, above Linen Club, opposite Gulistan Shadi Mahal, Shivaji Nagar, Bengaluru, Karnataka 560001","=HYPERLINK(""https://www.google.com/maps/place/Kimia+Realty+Office+Space+In+Bangalore+-+Warehouse+Space+In+Bangalore/data=!4m7!3m6!1s0x3bae16636b0fdaeb:0x724eb1a24280b4b9!8m2!3d12.98194!4d77.601264!16s%2Fg%2F11f1vp70ns!19sChIJ69oPa2MWrjsRubSAQqKxTnI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Coldwell Banker South India,Real estate agency,100,4.8,099020 66670,https://buywithcb.in/,"=HYPERLINK(""https://buywithcb.in/"", ""Visit Website"")",balaji.b@coldwellbanker.in,https://linkedin.com/company/cb-area-develper-south-zone,,https://instagram.com/cb.southindia,,"3rd Floor, Raghavendra Swamy Mutt, 38, 10th Main Rd, above Duroflex, near Sri, 5th Block, Jayanagar, Bengaluru, Karnataka 560041","=HYPERLINK(""https://www.google.com/maps/place/Coldwell+Banker+South+India/data=!4m7!3m6!1s0x3bae1508cebc778f:0xb288cba2ca881a52!8m2!3d12.9172269!4d77.5845556!16s%2Fg%2F11cly5hhww!19sChIJj3e8zggVrjsRUhqIyqLLiLI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
S B Real Estate,Real estate rental agency,120,4.9,089512 37776,,,,,,,,"#12, 2nd Cross Rd, Thimmareddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka 560075","=HYPERLINK(""https://www.google.com/maps/place/S+B+Real+Estate/data=!4m7!3m6!1s0x3bae13a50d37c03d:0x24095c495f20e5ba!8m2!3d12.9659167!4d77.6607603!16s%2Fg%2F11mv221pf8!19sChIJPcA3DaUTrjsRuuUgX0lcCSQ?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Friendly Realtors and Property Management,Real estate consultant,100,4.8,099015 55100,https://www.friendlyrealtors.in/,"=HYPERLINK(""https://www.friendlyrealtors.in/"", ""Visit Website"")","info@friendlyrealtors.in, services@friendlyrealtors.in, services@friendlyrealtors.inreal",https://linkedin.com/company/friendlyrealtors,https://facebook.com/friendlyrealtors,https://instagram.com/friendlyrealtors,,"19/8, Davis Rd, Balaji Layout, Cooke Town, Bengaluru, Karnataka 560084","=HYPERLINK(""https://www.google.com/maps/place/Friendly+Realtors+and+Property+Management/data=!4m7!3m6!1s0x3bae16e536f4a165:0x70083b3f3e25fa24!8m2!3d13.0035159!4d77.6200618!16s%2Fg%2F11b6bj0468!19sChIJZaH0NuUWrjsRJPolPj87CHA?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Bhurani Real Estate,Real estate agency,100,4.5,098451 77451,http://www.bhurani.in/,"=HYPERLINK(""http://www.bhurani.in/"", ""Visit Website"")","santhosh@bhurani.in, info@bhurani.in, emailinfo@bhurani.in",https://linkedin.com/in/santosh-bhurani-06548922,https://facebook.com/santosh.bhurani,https://instagram.com/santosh.bhurani,https://x.com/santoshbhurani,"418, 18th Main Rd, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560041","=HYPERLINK(""https://www.google.com/maps/place/Bhurani+Real+Estate/data=!4m7!3m6!1s0x3bae157561d9bde5:0x20bb98c0009d9730!8m2!3d12.9251867!4d77.589502!16s%2Fg%2F1tg4v8kt!19sChIJ5b3ZYXUVrjsRMJedAMCYuyA?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
MR Real Estate,Real estate agency,120,4.8,087480 01723,,,,,,,,"39b, 18th A Main Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102","=HYPERLINK(""https://www.google.com/maps/place/MR+Real+Estate/data=!4m7!3m6!1s0x3bae1513b65aeaa9:0x44709c367a3c659d!8m2!3d12.906337!4d77.6432517!16s%2Fg%2F11gmdtbbg_!19sChIJqepathMVrjsRnWU8ejaccEQ?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
New Karnataka Real Estate Agency,Real estate agency,50,5.0,080888 98178,https://newkarnatakarealestatemna.com/,"=HYPERLINK(""https://newkarnatakarealestatemna.com/"", ""Visit Website"")","info@newkarnatakarealestatemna.com, info@newkarnatakarealestatemna.comphone",,,,,"Anjanadri layout, 187, 1st main cross road, Sinthan Nagar, Unity Nagar, Rachenahalli, Thanisandra, Bengaluru, Karnataka 560077","=HYPERLINK(""https://www.google.com/maps/place/New+Karnataka+Real+Estate+Agency/data=!4m7!3m6!1s0x3bae1761a8d8e543:0xe6e0d38ba648a68d!8m2!3d13.0569199!4d77.6274282!16s%2Fg%2F11b88h4l8d!19sChIJQ-XYqGEXrjsRjaZIpovT4OY?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Anthra Real Estate Agency,Real estate agency,120,4.2,098451 05286,,,,,,,,"#113, 6th Cross Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095","=HYPERLINK(""https://www.google.com/maps/place/Anthra+Real+Estate+Agency/data=!4m7!3m6!1s0x3bae144466bc7133:0xf25c2d8f33a5c806!8m2!3d12.936785!4d77.6246374!16s%2Fg%2F1v1vbmw_!19sChIJM3G8ZkQUrjsRBsilM48tXPI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
PLANETS PROPERTIES | Real Estate Property advisory company in Bangalore.,Real estate agency,120,4.6,080887 88077,,,,,,,,"2nd Floor, 357/4, Begur - Hulimavu Rd, opp. DLF Westend Heights Apartments, Classic Paradise Layout, Akshayanagar, Bengaluru, Karnataka 560114","=HYPERLINK(""https://www.google.com/maps/place/PLANETS+PROPERTIES+%7C+Real+Estate+Property+advisory+company+in+Bangalore./data=!4m7!3m6!1s0x3bae6b2d16b4b91b:0xadfe740ec3e1ca7a!8m2!3d12.876095!4d77.6175746!16s%2Fg%2F11c6zxqjqt!19sChIJG7m0Fi1rrjsResrhww50_q0?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Prop Floor Realty... Real Estate Service Provider Company,Real estate agency,70,4.7,,http://www.propfloor.com/,"=HYPERLINK(""http://www.propfloor.com/"", ""Visit Website"")",,,,,,"Rukmani Buildings, 2nd Floor, 9th A Main, next to Metro Station, Indiranagar, Karnataka 560038","=HYPERLINK(""https://www.google.com/maps/place/Prop+Floor+Realty...+Real+Estate+Service+Provider+Company/data=!4m7!3m6!1s0x3bae1678a89f09d7:0x76507f62f55e9deb!8m2!3d12.9774861!4d77.6388236!16s%2Fg%2F11cm4f3scs!19sChIJ1wmfqHgWrjsR651e9WJ_UHY?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Agarwal Estates,Real estate agency,100,4.6,070900 11220,https://agarwalestates.com/,"=HYPERLINK(""https://agarwalestates.com/"", ""Visit Website"")",sales@agarwalestates.com,https://linkedin.com/company/agarwal-estates,https://facebook.com/agarwalestates,https://instagram.com/agarwalestates,https://twitter.com/agarwalestates,"No.9, CRM Soubhagya Annexe, #35, 1B, Varthur Main Rd, near Spice Garden, Lakshminarayana Pura, Marathahalli, Bengaluru, Karnataka 560037","=HYPERLINK(""https://www.google.com/maps/place/Agarwal+Estates/data=!4m7!3m6!1s0x3bae1230a8daa329:0xc914b500b19a5a5!8m2!3d12.9565675!4d77.7099389!16s%2Fg%2F11b6d013y2!19sChIJKaPaqDASrjsRpaUZC1BLkQw?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Search Homes India Private Limited - Real-estate Organization,Real estate consultant,100,4.1,090366 11811,https://www.searchhomesindia.com/,"=HYPERLINK(""https://www.searchhomesindia.com/"", ""Visit Website"")",info@searchhomesindia.com,https://linkedin.com/company/search-homes-india,https://facebook.com/searchhomesindia,https://instagram.com/searchhomesindia_,https://twitter.com/searchhomesindi,"Search Homes India Pvt Ltd, No 280 3rd Floor, 5th Main Rd, 6th Sector, HSR Layout, Bengaluru, Karnataka 560102","=HYPERLINK(""https://www.google.com/maps/place/Search+Homes+India+Private+Limited+-+Real-estate+Organization/data=!4m7!3m6!1s0x3bae148713f06c91:0xdb6f27f1569c80ba!8m2!3d12.9133227!4d77.6325541!16s%2Fg%2F11fzf3rj81!19sChIJkWzwE4cUrjsRuoCcVvEnb9s?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Rsquare reality- best realestate consultant in bangalore,Real estate consultant,100,4.7,077960 05004,http://www.rsquarereality.com/,"=HYPERLINK(""http://www.rsquarereality.com/"", ""Visit Website"")","cs@rsquarereality.com, emailcs@rsquarereality.com",https://linkedin.com/in/rsquare-reality-280631250,https://facebook.com/people,https://instagram.com/rsquarereality,,"1st C Main, Behind Startbucks, Extension, 7th Block, Koramangala, Bengaluru, Karnataka 560095","=HYPERLINK(""https://www.google.com/maps/place/Rsquare+reality-+best+realestate+consultant+in+bangalore/data=!4m7!3m6!1s0x3bae157ec6f4d609:0xe65ec432b594d546!8m2!3d12.9356656!4d77.6130481!16s%2Fg%2F11vpsgq9vd!19sChIJCdb0xn4VrjsRRtWUtTLEXuY?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
